,,SIMPLIFIED NAME,Cer,Cer,CMH,CMH,Cho,PC_DAPC,PC_DAPC,PC_DAPC,PC_DAPC,PC_DAPC,PC_DAPC,PC_DAPC,PC_DAPC,PC_DAPC,PC_DAPC,PC_DAPC,PC_DAPC,PC_DAPC,PC_DAPC,PC_DAPC,PC_DAPC,PC_DAPC,PC_DAPC,PC_DAPC,PC_DAPC,PC_DAPC,PE_DAPE,PC_DAPC,PC_DAPC,PC_DAPC,PC_DAPC,PC_DAPC,PE_DAPE,DAG,DAG,DAG,DAG,DAG,DAG,FAA,FAA,FAA,FAA,FAA,FAA,FAA,FAA,FAA,FAA,FAA,FAA,PC_1ME2MAPC,PC_1ME2MAPC,PC_1ME2MAPC,PC_1ME2MAPC,PC_1ME2MAPC,PC_1ME2MAPC,PC_1ME2MAPC,PC_1ME2MAPC,PC_1ME2MAPC,PE_1ME2MAPE,PE_1ME2MAPE,PE_1ME2MAPE,PE_1ME2MAPE,PE_1ME2MAPE,PE_1ME2MAPE,PE_1ME2MAPE,PE_1ME2MAPE,MAG,MAG,SM,SM,SM,SM,SM,SM,SM,SM,SM,SM,SM,SM,SM,SM,SM,SM,SM,TAG,TAG,TAG,TAG,TAG,TAG,TAG,TAG,TAG,TAG,TAG,TAG,TAG,TAG,TAG,TAG,TAG,TAG,TAG,TAG,TAG,TAG,TAG,TAG,TAG,TAG,TAG,TAG,TAG,TAG,TAG,TAG,TAG,TAG,TAG,TAG,TAG,TAG,TAG,TAG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SIMPLE NAME,Cer,Cer,CMH,CMH,Cho,PC,PC,PC,PC,PC,PC,PC,PC,PC,PC,PC,PC,PC,PC,PC,PC,PC,PC,PC,PC,PC,PE,PC,PC,PC,PC,PC,PE,DAG,DAG,DAG,DAG,DAG,DAG,FAA,FAA,FAA,FAA,FAA,FAA,FAA,FAA,FAA,FAA,FAA,FAA,PC,PC,PC,PC,PC,PC,PC,PC,PC,PE,PE,PE,PE,PE,PE,PE,PE,MAG,MAG,SM,SM,SM,SM,SM,SM,SM,SM,SM,SM,SM,SM,SM,SM,SM,SM,SM,TAG,TAG,TAG,TAG,TAG,TAG,TAG,TAG,TAG,TAG,TAG,TAG,TAG,TAG,TAG,TAG,TAG,TAG,TAG,TAG,TAG,TAG,TAG,TAG,TAG,TAG,TAG,TAG,TAG,TAG,TAG,TAG,TAG,TAG,TAG,TAG,TAG,TAG,TAG,TAG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,HMDB,HMDB04949,,,,HMDB00067,HMDB00564,,HMDB07970,HMDB07972,HMDB07973,HMDB08038,HMDB08039,HMDB07982,HMDB08270,HMDB08046,HMDB08048,,HMDB07991,HMDB08057,HMDB08378,HMDB08123,,,,,,HMDB08927,,,,,,,,,,,,,,HMDB12273,HMDB34146,HMDB02117,,,,,HMDB00583,,,,,,,,,,,,,,,,,,,,,HMDB11564,HMDB11131,,,HMDB10169,,,HMDB01348,,,,HMDB12103,HMDB11694,,HMDB12105,,,,,,,,,,,,,,,,HMDB05356,,,,,,,,,,,,,,,,,,,HMDB05393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,KEGG,C00195,,,,C00187,C00157,,C00157,C00157,C00157,C00157,C00157,C00157,C00157,C00157,C00157,,C00157,C00157,C00157,C00157,,,,,,C00350,,,,,,,,,,,,,,,C13846,C19670,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C00550,,,C00550,,,,C00550,,,C00550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C00422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,CHEMICAL FORMULA,C34H67NO3,,,,C27H46O,C40H80NO8P,,C42H84NO8P,C42H82NO8P,C42H80NO8P,C44H86NO8P,C44H84NO8P,C44H80NO8P,C46H88NO8P,C46H86NO8P,C46H84NO8P,,C46H80NO8P,C48H84NO8P,C48H82NO8P,C48H82NO8P,,,,,,C39H76NO8P,,,,,,,,,,,,,,C16H33NO,C18H37NO,C18H35NO,,,,,C22H45NO,,,,,,,,,,,,,,,,,,,,,C19H38O4,C21H42O4,,,C39H80N2O6P,,,C41H84N2O6P,,,,C45H91N2O6P,C45H90N2O6P,,C46H93N2O6P,,,,,,,,,,,,,,,,C51H98O6,,,,,,,,,,,,,,,,,,,C57H110O6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,COMMON NAME,Ceramide (d18:1/16:0),,,,Cholesterol,PC(16:0/16:0),,PC(16:0/18:0),PC(16:0/18:1(9Z)),"PC(16:0/18:2(9Z,12Z))",PC(18:0/18:1(9Z)),"PC(18:0/18:2(9Z,12Z))","PC(16:0/20:4(5Z,8Z,11Z,14Z))","PC(20:0/18:2(9Z,12Z))","PC(18:0/20:3(5Z,8Z,11Z))","PC(18:0/20:4(5Z,8Z,11Z,14Z))",,"PC(16:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))","PC(18:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))","PC(20:3(5Z,8Z,11Z)/20:4(5Z,8Z,11Z,14Z))","PC(18:1(9Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z))",,,,,,PE(16:0/18:1(9Z)),,,,,,,,,,,,,,Palmitic amide,Octadecanamide,Oleamide,,,,,Docosanamide,,,,,,,,,,,,,,,,,,,,,MG(16:0/0:0/0:0),MG(18:0/0:0/0:0),,,SM(d18:1/16:0),,,SM(d18:1/18:0),,,,SM(d18:1/22:0),SM(d16:1/24:1(15Z)),,SM(d18:1/23:0),,,,,,,,,,,,,,,,TG(16:0/16:0/16:0)[iso],,,,,,,,,,,,,,,,,,,TG(18:0/18:0/18:0),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,BIOFUNCTION,Cell signaling,,,,Cell signaling,Cell signaling,,Cell signaling,Cell signaling,Cell signaling,Cell signaling,Cell signaling,Cell signaling,Cell signaling,Cell signaling,Cell signaling,,Cell signaling,Cell signaling,Cell signaling,Cell signaling,,,,,,Cell signaling,,,,,,,,,,,,,,Cell signaling,Cell signaling,Cell signaling,,,,,Cell signaling,,,,,,,,,,,,,,,,,,,,,Cell signaling,Cell signaling,,,Cell signaling,,,Cell signaling,,,,Cell signaling,Cell signaling,,Cell signaling,,,,,,,,,,,,,,,,Cell signaling,,,,,,,,,,,,,,,,,,,Cell signaling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,CLASS (HMDB),Sphingolipids,,,,Steroids and Steroid Derivatives,Glycerophospholipids,,Glycerophospholipids,Glycerophospholipids,Glycerophospholipids,Glycerophospholipids,Glycerophospholipids,Glycerophospholipids,Glycerophospholipids,Glycerophospholipids,Glycerophospholipids,,Glycerophospholipids,Glycerophospholipids,Glycerophospholipids,Glycerophospholipids,,,,,,Glycerophospholipids,,,,,,,,,,,,,,Fatty Amides,Fatty Amides,Fatty Amides,,,,,Fatty Amides,,,,,,,,,,,,,,,,,,,,,Glycerolipids,Glycerolipids,,,Sphingolipids,,,Sphingolipids,,,,Sphingolipids,Sphingolipids,,Sphingolipids,,,,,,,,,,,,,,,,Glycerolipids,,,,,,,,,,,,,,,,,,,Glycerolipids,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,SUPER CLASS (HMDB),Lipids,,,,Lipids,Lipids,,Lipids,Lipids,Lipids,Lipids,Lipids,Lipids,Lipids,Lipids,Lipids,,Lipids,Lipids,Lipids,Lipids,,,,,,Lipids,,,,,,,,,,,,,,Lipids,Lipids,Lipids,,,,,Lipids,,,,,,,,,,,,,,,,,,,,,Lipids,Lipids,,,Lipids,,,Lipids,,,,Lipids,Lipids,,Lipids,,,,,,,,,,,,,,,,Lipids,,,,,,,,,,,,,,,,,,,Lipids,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Owl-SHA-008,Starved,,0.46,2.88,0.01,0.09,0.04,0.13,0.36,0.06,0.1,0.0,0.05,0.01,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.55,0.08,0.0,0.31,1.0,0.39,1.48,0.6,0.38,0.2,0.11,0.1,0.06,0.66,1.26,0.12,3.55,0.03,0.02,0.43,8.82,7.29,9.81,5.13,4.4,2.78,1.74,2.76,3.46,2.41,2.66,2.58,0.2,0.26,0.09,0.07,0.35,0.11,0.06,0.14,0.28,0.88,0.9,0.13,0.05,0.13,0.37,0.17,0.34,3.8,8.32,0.01,0.02,0.02,0.01,0.02,0.02,0.01,0.0,0.01,0.01,0.0,0.0,0.0,0.01,0.01,0.0,0.01,0.06,0.16,0.04,0.53,0.13,0.03,0.03,1.8,0.45,0.18,0.41,0.07,0.02,0.01,0.23,0.06,0.05,0.04,0.01,0.01,0.0,0.03,0.01,0.17,0.01,0.0,0.0,0.01,0.01,2.29,0.66,0.01,0.01,0.02,0.03,0.11,0.15,2.57,0.16,0.84,,53.84,12.12,5.42,5.24,11.4,9.16,5.43,1.56,0.89,0.67,6.99,1.26,2.97,0.88,1.58,4.23,3.33,0.46,0.11,0.15,3.7,20.37,11.4,85.61,4.23,,4.29,0.53,1.65,0.01,0.02,21.89,0.54,0.12,0.16,0.16,2.71,2.1
Owl-SHA-009,Starved,,0.39,6.21,0.01,0.01,0.01,0.09,0.29,0.05,0.08,0.0,0.04,0.01,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.35,0.05,0.0,0.25,0.66,0.3,1.09,0.31,0.29,0.15,0.09,0.09,0.04,0.49,1.32,0.23,3.96,0.1,0.11,0.61,9.62,4.42,4.49,3.21,4.44,3.46,1.98,3.02,3.93,3.54,4.76,3.54,0.3,0.19,0.07,0.05,0.39,0.07,0.04,0.14,0.34,0.91,0.95,0.13,0.05,0.05,0.24,0.2,0.22,4.15,9.15,0.01,0.01,0.02,0.01,0.02,0.01,0.0,0.0,0.0,0.01,0.02,0.0,0.0,0.0,0.01,0.0,0.01,0.11,0.15,0.08,0.53,0.16,0.05,0.05,1.04,0.41,0.18,0.45,0.08,0.02,0.02,0.26,0.06,0.06,0.07,0.01,0.01,0.01,0.03,0.02,0.28,0.01,0.01,0.01,0.01,0.02,2.68,0.69,0.01,0.02,0.03,0.04,0.17,0.21,1.71,0.13,0.93,,50.41,13.3,6.33,5.89,10.83,8.17,3.95,1.59,0.97,0.61,5.54,0.79,2.75,0.91,1.42,3.55,6.6,0.39,0.02,0.13,6.77,22.2,10.83,83.44,3.55,,4.98,0.58,1.56,0.01,0.02,52.06,0.53,0.13,0.24,0.15,3.06,1.71
Owl-SHA-010,Fed,,0.53,5.82,0.02,0.11,0.03,0.13,0.37,0.06,0.1,0.0,0.06,0.01,0.0,0.04,0.0,0.0,0.01,0.0,0.01,0.85,0.14,0.0,0.44,0.69,0.43,1.06,0.58,0.36,0.22,0.14,0.15,0.1,0.76,1.33,0.14,3.83,0.05,0.03,0.43,7.18,4.53,4.26,2.57,4.3,3.56,2.57,3.41,3.45,2.55,3.13,3.12,0.3,0.41,0.11,0.1,0.49,0.08,0.05,0.17,0.27,1.39,1.35,0.19,0.07,0.14,0.46,0.29,0.23,3.65,7.68,0.01,0.02,0.02,0.01,0.03,0.02,0.01,0.0,0.01,0.01,0.0,0.0,0.0,0.01,0.01,0.0,0.01,0.18,0.38,0.12,1.01,0.22,0.09,0.08,1.78,0.91,0.39,0.74,0.12,0.03,0.02,0.4,0.12,0.07,0.11,0.01,0.01,0.0,0.05,0.03,0.51,0.01,0.01,0.0,0.01,0.02,2.43,1.29,0.02,0.02,0.02,0.04,0.2,0.28,3.26,0.61,1.39,,44.63,11.34,5.8,5.59,16.95,12.58,5.37,1.99,1.15,0.84,7.36,1.34,4.12,1.39,2.21,5.46,6.35,0.53,0.13,0.16,6.77,25.42,16.95,87.0,5.46,,4.01,0.48,1.35,0.02,0.02,38.67,0.44,0.1,0.17,0.13,2.83,2.92
Owl-SHA-011,Fed,,0.18,7.12,0.01,0.07,0.02,0.08,0.19,0.03,0.05,0.0,0.03,0.01,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.41,0.07,0.0,0.24,0.38,0.22,0.52,0.39,0.2,0.12,0.07,0.06,0.03,0.48,0.66,0.04,2.29,0.01,0.02,0.25,4.35,8.14,7.28,4.48,4.27,5.29,5.01,5.06,5.33,5.09,4.52,4.81,0.13,0.28,0.05,0.06,0.2,0.05,0.03,0.1,0.15,0.85,0.64,0.1,0.05,0.07,0.18,0.11,0.14,3.05,4.72,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,0.14,0.17,0.08,0.59,0.13,0.03,0.06,1.82,0.47,0.19,0.39,0.06,0.01,0.01,0.26,0.06,0.04,0.06,0.0,0.0,0.0,0.01,0.01,0.32,0.01,0.0,0.0,0.01,0.01,1.46,0.77,0.01,0.01,0.01,0.04,0.14,0.19,0.96,0.23,0.74,,63.65,7.77,3.26,3.2,9.52,7.22,2.75,1.06,0.54,0.52,3.81,0.87,2.15,0.85,1.05,3.02,7.3,0.18,0.07,0.09,7.53,17.64,9.52,90.81,3.02,,3.15,0.49,1.26,0.02,0.02,84.86,0.3,0.11,0.13,0.15,2.57,2.92
